id,title,author,score,num_comments,url,time
47697870,LittleSnitch for Linux,pluc,195,71,https://obdev.at/products/littlesnitch-linux/index.html,2026-04-09 00:26:08
47691730,I ported Mac OS X to the Nintendo Wii,blkhp19,1287,216,https://bryankeller.github.io/2026/04/08/porting-mac-os-x-nintendo-wii.html,2026-04-08 15:40:00
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,WerWolv,195,29,https://werwolv.net/posts/usb_for_sw_devs/,2026-04-08 19:23:34
47693153,Understanding the Kalman filter with a simple radar example,alex_be,246,34,https://kalmanfilter.net,2026-04-08 17:11:46
47661297,What does it mean to “write like you talk”?,surprisetalk,36,34,https://arjunpanickssery.substack.com/p/what-does-it-mean-to-write-like-you,2026-04-06 14:22:51
47688678,They're made out of meat (1991),surprisetalk,424,125,http://www.terrybisson.com/theyre-made-out-of-meat-2/,2026-04-08 11:20:50
47678690,Six (and a half) intuitions for KL divergence,jxmorris12,16,0,https://www.perfectlynormal.co.uk/blog-kl-divergence,2026-04-07 17:34:13
47692043,Muse Spark: Scaling towards personal superintelligence,chabons,282,298,https://ai.meta.com/blog/introducing-muse-spark-msl/?_fb_noscript=1,2026-04-08 16:01:32
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,ra,541,545,https://www.skoda-storyboard.com/en/skoda-world/skoda-duobell-a-bicycle-bell-that-outsmarts-even-smart-headphones/,2026-04-08 08:50:37
47687273,Git commands I run before reading any code,grepsedawk,1835,391,https://piechowski.io/post/git-commands-before-reading-code/,2026-04-08 08:53:42
47689648,ML promises to be profoundly weird,pabs3,392,430,https://aphyr.com/posts/411-the-future-of-everything-is-lies-i-guess,2026-04-08 13:06:33
47648538,I imported the full Linux kernel git history into pgit,ImGajeed76,75,11,https://oseifert.ch/blog/linux-kernel-pgit,2026-04-05 12:08:55
47666639,The Importance of Being Idle,Caiero,11,1,https://theamericanscholar.org/the-importance-of-being-idle/,2026-04-06 20:33:03
47694983,Expanding Swift's IDE Support,frizlab,81,39,https://swift.org/blog/expanding-swift-ide-support/,2026-04-08 19:21:41
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,chrsw,264,48,https://arxiv.org/abs/2604.05091,2026-04-08 12:19:00
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,jfirebaugh,326,258,https://www.nytimes.com/2026/04/08/business/bitcoin-satoshi-nakamoto-identity-adam-back.html,2026-04-08 04:37:57
47656730,Understanding Traceroute,stonecharioteer,95,13,https://tech.stonecharioteer.com/posts/2026/traceroute/,2026-04-06 03:40:31
47696035,John Deere to pay $99M in right-to-repair settlement,CharlesW,185,49,https://www.thedrive.com/news/john-deere-to-pay-99-million-in-monumental-right-to-repair-settlement,2026-04-08 20:46:27
47698082,Newly created Polymarket accounts win big on well-timed Iran ceasefire bets,mitchbob,31,8,https://www.theguardian.com/business/2026/apr/08/polymarket-trump-us-iran-ceasefire,2026-04-09 00:55:46
47696562,Show HN: Is Hormuz open yet?,anonfunction,272,127,https://www.ishormuzopenyet.com/,2026-04-08 21:33:06
47654062,Ask HN: Any interesting niche hobbies?,e-topy,269,406,No URL,2026-04-05 21:30:19
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,bundie,183,174,https://blog.railway.com/p/moving-railways-frontend-off-nextjs,2026-04-08 06:01:00
47696760,"Show HN: Tired of logic in useEffect, I built a class-based React state manager",thalesfp,21,37,https://thales.me/posts/why-i-built-snapstate/,2026-04-08 21:53:36
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,nickvec,289,142,https://nickvecchioni.github.io/thoughts/2026/04/08/anthropic-support-doesnt-exist/,2026-04-08 17:44:25
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,latchkey,87,119,http://oj-hn.com/,2026-04-08 18:08:52
